,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
295,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E3RTiHlEb,Loh kaum baalawi kok gak di undang awas nanti di aku2 IKN milik tarim.haduh lewat ngimpi.,11 jam yang lalu,@user-ns5xb6nl2f,UCczqGVwKFxxJnRuXUPSVIXg,4,,https://yt3.ggpht.com/ytc/AIdro_n3Xx1mvCz_szHdpA0RIWCc5V_SU_8pU0mTDoG0t2ChO9BdC1UxtAQdNr99K6YVG_TEcg=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.151731
296,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E4P0NEZAG,​​ @user-ns5xb6nl2f  diundang ke IKN Bikin reseh nanti mana gk ada nasbung lagi dikalimantan 😂😂,11 jam yang lalu (diedit),@kenumang8884,UCdbUv5H6p3JhpEwPBbLzaNg,3,,https://yt3.ggpht.com/ytc/AIdro_mh8sRs3FdIHuCimy2phCBpUs0agc02qmpevxOnnGE=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.154749
297,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E4P5LMGp6,Smua nya sudah di atur Allah SWT apapun itu..yg terjadi baik buruk nya dalam kehidupan keseharian kita .smua nya atas izin Allah..kita manusia umat nya .di anjurkan mendoakan yg terbaik semogh smua nya lancar ..apapun itu...terlebih .program pemerintah semogah menjadi yg ter baik i untuk kehidupan Rakyat Masyarakat Bangsa dan Negara...aaminnn..aamin...,11 jam yang lalu,@riduanduan2423,UC8z_bY-h_39S7AIzG8gAaLQ,6,,https://yt3.ggpht.com/ytc/AIdro_mC-F_LUNsLxxHq0iRkdThSk-g8rlByJUfRPLo8n2HtbmB0G7VDfzswGgLJModTHVY6_A=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.157748
298,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E4RHgnJWH,"Tak ada manusia yg sempurna ... Begitu pula setiap pemimpin negara ada kekurangan dan kelebihannya masing-masing, oleh sebab itu kita harus tetap menghargai perjuangannya,",11 jam yang lalu,@lilypaulineaugustine5477,UC11Utb6vEdmcB39l4SsO9zA,2,,https://yt3.ggpht.com/ytc/AIdro_nbxSijJcEHzW2Nj4oQzscqObctnzVQwUsLERmK0gg=s88-c-k-c0x00ffffff-no-rj,False,True,1723871700.161745
299,UgyekHbCT5xUGW4uDHh4AaABAg.A7Dwhh-yG6LA7E4_Ciy_xO,❤️❤️❤️Indonesia lebih Maju.❤️❤️❤️,10 jam yang lalu,@Saksimata-m1q,UCnZf7M37Ne4GZmE8RpNX5IQ,1,,https://yt3.ggpht.com/ytc/AIdro_mbdw79JGc5mlEFb4L_fDS_eNfnZ3cB5TODqlDQLt_5YWQ-7_FLklstw7UB2tMe0YfK6w=s88-c-k-c0x00ffffff-no-rj,False,True,1723875300.164861
300,UgxYuY_U83wdJTERRWh4AaABAg,Atraksi Pesawat Tempur untuk Pertama Kali di IKN >> https://www.youtube.com/watch?v=5ail47fpyTk&t=1s,12 jam yang lalu (diedit),@TribunMedanTV,UCwFc1bMj5KFxX8BJ1wBRuzw,15,,https://yt3.ggpht.com/ytc/AIdro_lda5UtpCnDA2cQnVdLLnNOSt53BbsupJ-si_Thf2oHGZU=s88-c-k-c0x00ffffff-no-rj,False,False,1723868101.183538
301,UgwE56yxIrfu2bveMpJ4AaABAg,Paersiapan pasukan pengibar bendera sangat matang. Ini salah satu yang paling terbaik yg saya saksikan selama 20 tahun terakhir. Salut dan bangga buat pasukan pengibar bendera. ❤❤❤,11 jam yang lalu,@user-vr3hr2yw2p,UC8U314211X7GGbdsuM2hbGQ,34,,https://yt3.ggpht.com/ytc/AIdro_lPzli4dJG5cLnw96ruYoBNm3_5_eD8i8XDpv7ulgomHNDYGeHCJcNCTE1xkfCyWJwrCw=s88-c-k-c0x00ffffff-no-rj,False,False,1723871701.187534
302,UgwL2M4gDKKtPWCotvp4AaABAg,Alhamdulilah....hari bersejarah buat Kalimantan...saya orang Jawa bangga punya IKN baru...moga2 bawa barikah bagi seluruh rakyat Kalimantan dan semua Rakyat Indonesia,11 jam yang lalu,@slametriyadidriver9078,UCS1tdpgXd0rHeP26Jnr70Ag,39,,https://yt3.ggpht.com/ytc/AIdro_m6RVJnbD6woxflKnrJJnLlywQ3dNQwNpKVJUMo4qWnpzc=s88-c-k-c0x00ffffff-no-rj,False,False,1723871701.191643
303,UgxSXkWtbACGl0rAJCB4AaABAg,"Puji Tuhan, ahirnya upacara bendera 17/8/24 dapat dilaksanakan di ikn, meski banyak yg meragukan, tks pak Jokowi diahir jabatan bpk sdh menorehkan pemerataan pembangunan,  🙏",11 jam yang lalu,@jonnerpanjaitan4867,UCptUvEJyDCHQt2qMmBo2vXA,12,,https://yt3.ggpht.com/ytc/AIdro_mv7BpVyC6lI3FNvPM28jtbefae-FuHnWaG3suzVaQ=s88-c-k-c0x00ffffff-no-rj,False,False,1723871701.192689
304,UgxAXYIRCR4XZ0IgJnV4AaABAg,"Bulu kuduk selalu mering tiap kali nonton detik detik pengibaran sang merah putih, Dirgahayu Republik Indonesia yg ke 79 ! Semangat Kemerdekaan !!!! ❤❤❤❤",11 jam yang lalu,@embokwayan4950,UCutxxCJ3mS8W-w73sj2p6OQ,20,,https://yt3.ggpht.com/sRhEKOWt0IgrE9yqILq1elBOhOXjrMG0JYex_xZ0nahQBnUMgBzE7BEPWRWBj-_f9DJP8LE_Bzc=s88-c-k-c0x00ffffff-no-rj,False,False,1723871701.192689
